antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'PrevScore=HighPrev'}),frozenset({'Attendance=AvgAttend'}),0.4896322082639625,0.5049190252762222,0.25382170425306494,0.5183925811437403,1.0266845874150756,1.0,0.006597086912580763,1.0279762194518087,0.05092607329220739,0.3426644871270944,0.027214852832984405,0.5105452114351795
frozenset({'Attendance=AvgAttend'}),frozenset({'PrevScore=HighPrev'}),0.5049190252762222,0.4896322082639625,0.25382170425306494,0.5026978417266187,1.0266845874150756,1.0,0.006597086912580763,1.0262730258033599,0.05249853841067666,0.3426644871270944,0.025600427131604268,0.5105452114351795
frozenset({'Sleep=GoodSleep'}),frozenset({'Attendance=AvgAttend'}),0.3762675949750265,0.5049190252762222,0.1913122445890722,0.5084473049074819,1.0069878128068743,1.0,0.0013275772912534622,1.0071778237802516,0.011125479559772559,0.27731461167178584,0.0071266718201567405,0.44367209370074334
frozenset({'Attendance=AvgAttend'}),frozenset({'Sleep=GoodSleep'}),0.5049190252762222,0.3762675949750265,0.1913122445890722,0.37889688249400477,1.0069878128068743,1.0,0.0013275772912534622,1.0042332528055935,0.014016539671605844,0.27731461167178584,0.004215409521448563,0.44367209370074334
frozenset({'Sleep=NormalSleep'}),frozenset({'Attendance=AvgAttend'}),0.47177236264567884,0.5049190252762222,0.23959436960799152,0.507860121912095,1.005824887731778,1.0,0.0013875281086749292,1.0059761375999918,0.010963369757831474,0.3250513347022587,0.005940637564417934,0.4911902528025702
frozenset({'Attendance=AvgAttend'}),frozenset({'Sleep=NormalSleep'}),0.5049190252762222,0.47177236264567884,0.23959436960799152,0.4745203836930455,1.005824887731778,1.0,0.0013875281086749292,1.00522954641219,0.011697389316671306,0.3250513347022587,0.00520234242405487,0.4911902528025702
frozenset({'Attendance=AvgAttend'}),frozenset({'StudyHours=HighStudy'}),0.5049190252762222,0.4635992129559558,0.23883759648857272,0.4730215827338129,1.020324386915541,1.0,0.004757533764027738,1.017879989865349,0.04023490217640193,0.3273179838207841,0.017565913409227384,0.49410138882038346
frozenset({'StudyHours=HighStudy'}),frozenset({'Attendance=AvgAttend'}),0.4635992129559558,0.5049190252762222,0.23883759648857272,0.515181194906954,1.020324386915541,1.0,0.004757533764027738,1.021167018485587,0.037135543176921755,0.3273179838207841,0.02072826498020328,0.49410138882038346
frozenset({'Attendance=AvgAttend'}),frozenset({'Tutoring=FewTutor'}),0.5049190252762222,0.579385500227032,0.29423338883002875,0.5827338129496402,1.0057790757989218,1.0,0.001690626796219341,1.008024402212537,0.01160591958513055,0.37241379310344824,0.007960526145474217,0.5452854017726257
frozenset({'Tutoring=FewTutor'}),frozenset({'Attendance=AvgAttend'}),0.579385500227032,0.5049190252762222,0.29423338883002875,0.5078369905956113,1.0057790757989218,1.0,0.001690626796219341,1.005928857426712,0.013660655978035993,0.37241379310344824,0.00589391527520739,0.5452854017726257
frozenset({'Attendance=GoodAttend'}),frozenset({'Grade=GradeMed'}),0.48191312244589074,0.9665506281216891,0.4744967458755865,0.984610552763819,1.0186849236001492,1.0,0.008703314675426288,2.1735263906129263,0.035403716579047326,0.4871794871794871,0.5399181995952594,0.7377640925422603
frozenset({'Grade=GradeMed'}),frozenset({'Attendance=GoodAttend'}),0.9665506281216891,0.48191312244589074,0.4744967458755865,0.4909176323207015,1.0186849236001492,1.0,0.008703314675426288,1.0176877248728353,0.5483571124437964,0.4871794871794871,0.017380308718339114,0.7377640925422603
frozenset({'Attendance=GoodAttend'}),frozenset({'PassFail=Pass'}),0.48191312244589074,0.9897078855759044,0.48191312244589074,1.0,1.0103991435999389,1.0,0.004959904998686315,10292114.42409561,0.01986561495763945,0.4869246062089005,1.0,0.7434623031044503
frozenset({'PassFail=Pass'}),frozenset({'Attendance=GoodAttend'}),0.9897078855759044,0.48191312244589074,0.48191312244589074,0.48692460620890043,1.0103991435999389,1.0,0.004959904998686315,1.0097675367283012,1.0000000000000018,0.4869246062089005,0.009673056740346204,0.7434623031044503
frozenset({'PrevScore=MedPrev'}),frozenset({'Attendance=GoodAttend'}),0.5009838050552444,0.48191312244589074,0.246859391554412,0.492749244712991,1.0224856343651794,1.0,0.005428721765415728,1.0213624546297748,0.044069009468690024,0.3353896771540201,0.020915647040237004,0.502498994215792
frozenset({'Attendance=GoodAttend'}),frozenset({'PrevScore=MedPrev'}),0.48191312244589074,0.5009838050552444,0.246859391554412,0.512248743718593,1.0224856343651794,1.0,0.005428721765415728,1.0230956609443433,0.04244683734100819,0.3353896771540201,0.022574294737259276,0.502498994215792
frozenset({'StudyHours=MedStudy'}),frozenset({'Attendance=GoodAttend'}),0.48115634932647194,0.48191312244589074,0.23581050401089754,0.4900912236552375,1.0169700737092193,1.0,0.003934945322311673,1.0160383593550446,0.032161703886890644,0.3242455775234131,0.01578519272280281,0.48970641584771923
frozenset({'Attendance=GoodAttend'}),frozenset({'StudyHours=MedStudy'}),0.48191312244589074,0.48115634932647194,0.23581050401089754,0.489321608040201,1.016970073709219,1.0,0.003934945322311673,1.0159890409038157,0.03220868271231702,0.3242455775234131,0.01573741666324612,0.48970641584771923
frozenset({'PassFail=Pass'}),frozenset({'Grade=GradeMed'}),0.9897078855759044,0.9665506281216891,0.9665506281216891,0.9766019269001376,1.0103991435999389,1.0,0.009947849661309904,1.4295779958448616,0.9999999999999994,0.9766019269001377,0.30049290058465605,0.9883009634500688
frozenset({'Grade=GradeMed'}),frozenset({'PassFail=Pass'}),0.9665506281216891,0.9897078855759044,0.9665506281216891,1.0,1.0103991435999389,1.0,0.009947849661309904,10292114.42409561,0.30769230769230627,0.9766019269001377,1.0,0.9883009634500688
frozenset({'PrevScore=HighPrev'}),frozenset({'Grade=GradeMed'}),0.4896322082639625,0.9665506281216891,0.4770697744816104,0.9743431221020092,1.0080621684509825,1.0,0.0038154560354677902,1.3037194434795558,0.015670443665661064,0.48724686968619574,0.23296383587319008,0.7339614138540111
frozenset({'Grade=GradeMed'}),frozenset({'PrevScore=HighPrev'}),0.9665506281216891,0.4896322082639625,0.4770697744816104,0.49357970560601316,1.0080621684509827,1.0,0.0038154560354677902,1.0077949015431533,0.2390983531249281,0.48724686968619574,0.007734612971212602,0.7339614138540111
frozenset({'Sleep=GoodSleep'}),frozenset({'Grade=GradeMed'}),0.3762675949750265,0.9665506281216891,0.36431057968820946,0.9682220434432823,1.0017292579125847,1.0,0.0006288994232602763,1.0525966566167775,0.0027676496008213754,0.37231245166279964,0.0499685114469064,0.6725701510670843
frozenset({'Grade=GradeMed'}),frozenset({'Sleep=GoodSleep'}),0.9665506281216891,0.3762675949750265,0.36431057968820946,0.3769182586908863,1.0017292579125847,1.0,0.0006288994232602763,1.0010442654176457,0.05160852490943389,0.37231245166279964,0.0010431776682081474,0.6725701510670843
frozenset({'StudyHours=HighStudy'}),frozenset({'Grade=GradeMed'}),0.4635992129559558,0.9665506281216891,0.45527470864234904,0.9820437479595169,1.0160292895033711,1.0,0.007182598163049225,1.862825824680565,0.02941159916670669,0.4670082285359416,0.46318118899786415,0.7265370634567394
